GRMZM2G169372|Zmays	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Uncharacterized protein	Putative uncharacterized protein Sb01g013000
GRMZM2G448511|Zmays	Dehydrin 13	Putative uncharacterized protein Sb01g013000	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Uncharacterized protein	Uncharacterized protein
PDK_30s870811g004|Pdactylifera	Dehydrin 3	85 kDa cold acclimation protein	Uncharacterized protein	Dehydrin	Dehydrin 5	Dehydrin DHN5	Dehydrin-like protein (Fragment)	Dehydrin	Dehydrin 7	Dehydrin Xero 2
PDK_30s943221g001|Pdactylifera	Dehydrin DHN5	Dehydrin 5	Dehydrin	Dehydrin (Fragment)	Dehydrin	Dehydrin-like protein (Fragment)	Cold shock protein CS66	Dehydrin-/LEA group 2-like protein	Dehydrin 5 (Fragment)	Dehydrin 5 (Fragment)
Aquca_007_00851|Acoerulea	Dehydrin 7	Uncharacterized protein	Dehydrin 2	Dehydrin 3	Dehydrin-like protein (Fragment)	Dehydrin	Putative dehydrin (Fragment)	Cold shock protein CS66	Dehydrin 5	85 kDa cold acclimation protein
898000|Alyrata	Predicted protein	Dehydrin Xero 2	Uncharacterized protein	Putative uncharacterized protein (Fragment)	Dehydrin	Dehydrin-like protein (Fragment)	Dehydrin 3	Uncharacterized protein	Dehydrin (Fragment)	Dehydrin 4
AT3G50970|Athaliana	Dehydrin Xero 2	Uncharacterized protein	Putative uncharacterized protein (Fragment)	Predicted protein	Uncharacterized protein	Dehydrin 3	Dehydrin-like protein (Fragment)	Dehydrin (Fragment)	Dehydrin	Uncharacterized protein
Carubv10018039m.g|Crubella	Uncharacterized protein	Dehydrin Xero 2	Putative uncharacterized protein (Fragment)	Predicted protein	Dehydrin-like protein (Fragment)	Dehydrin	Dehydrin 3	Uncharacterized protein	Dehydrin (Fragment)	Dehydrin 3
Ciclev10029952m.g|Cclementina	Uncharacterized protein	85 kDa cold acclimation protein	Dehydrin	Dehydrin 5	Dehydrin	Dehydrin DHN5	Dehydrin 3	Dehydrin-like protein (Fragment)	Cold shock protein CS66	Dehydrin
Eucgr.F01727|Egrandis	Dehydrin 2	Putative uncharacterized protein	Dehydrin 2	Putative uncharacterized protein	Dehydrin 3	Dehydrin protein	Dehydrin 1	Dehydrin-like protein (Fragment)	Dehydrin	Dehydrin
Gorai.007G257100|Graimondii	Dehydrin	Cold acclimation protein 1	Cold acclimation protein 1	85 kDa cold acclimation protein	Cold acclimation protein CAP1.1	Dehydrin 5	Cold acclimation protein CAP1.2	Dehydrin 4	Dehydrin (Fragment)	Dehydrin (Fragment)
Potri.013G062200|Ptrichocarpa	Uncharacterized protein	Dehydrin 9-1 (Fragment)	Uncharacterized protein	Dehydrin 8 (Fragment)	Dehydrin 3	Dehydrin 9-2 (Fragment)	Uncharacterized protein	85 kDa cold acclimation protein	Cold stress protein (Fragment)	Dehydrin
Potri.013G062300|Ptrichocarpa	Uncharacterized protein	Dehydrin 9-1 (Fragment)	Dehydrin 3	Dehydrin 8 (Fragment)	Uncharacterized protein	Dehydrin 9-2 (Fragment)	Uncharacterized protein	Dehydrin	Dehydrin-like protein (Fragment)	85 kDa cold acclimation protein
Potri.013G062400|Ptrichocarpa	Uncharacterized protein	Dehydrin 9-1 (Fragment)	Dehydrin 8 (Fragment)	Dehydrin 3	Dehydrin 9-2 (Fragment)	Uncharacterized protein	Uncharacterized protein	Cold stress protein (Fragment)	Dehydrin	85 kDa cold acclimation protein
Potri.002G013200|Ptrichocarpa	Uncharacterized protein	Putative dehydrin (Fragment)	Dehydrin 2	Dehydrin 7	Dehydrin 10 (Fragment)	Dehydrin-like protein (Fragment)	Dehydrin	Dehydrin	Dehydrin	Dehydrin family protein
Thecc1EG006526|Tcacao	85 kDa cold acclimation protein	Dehydrin 7	Uncharacterized protein	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)
PDK_30s1199051g001|Pdactylifera	SK3-type dehydrin	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin 8	Paf93 protein	Dehydrin WZY1-2	Dehydrin COR410
PDK_30s674821g002|Pdactylifera	SK3-type dehydrin	Uncharacterized protein	Dehydrin 8	Paf93 protein	Uncharacterized protein	Uncharacterized protein	Dehydrin (Fragment)	Uncharacterized protein	Dehydrin COR410	Dehydrin WZY1-2
chr1.CM0113.680.r2.d|Ljaponicus	Uncharacterized protein	Dehydrin	Dehydrin	Dehydrin b	Dehydrin b	Putative uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Dehydrin 2	Dehydrin-cognate
chr5.CM0335.70.r2.d|Ljaponicus	Uncharacterized protein	Uncharacterized protein	Dehydrin	Phosphoprotein ECPP44, putative	Dehydrin	Dehydrin protein	Dehydrin	Cold-stress inducible protein	Uncharacterized protein	Uncharacterized protein
C.cajan_18977|Ccajan	Uncharacterized protein	Dehydrin	Dehydrin protein	Phosphoprotein ECPP44, putative	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin
C.cajan_11145|Ccajan	Putative uncharacterized protein	Putative uncharacterized protein	Dehydrin 2	Uncharacterized protein	Dehydrin 3	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin 1
Ca_04759|Carietinum	Dehydrin b	Dehydrin b	Dehydrin-cognate	Dehydrin	Dehydrin 7	Uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Dehydrin 2	Dehydrin
Aquca_043_00099|Acoerulea	Dehydrin	Uncharacterized protein	Dehydrin 1	Dehydrin	Dehydrin 1	Phosphoprotein ECPP44, putative	Type II SK2 dehydrin (Fragment)	Uncharacterized protein	Dehydrin	Dehydrin protein
Aquca_007_00853|Acoerulea	Dehydrin 7	Dehydrin (Fragment)	Dehydrin 2	Dehydrin (Fragment)	Dehydrin 1	Uncharacterized protein	Dehydrin	ERD10C	Dehydrin 1	Dehydrin
490603|Alyrata	Putative uncharacterized protein	At4g38410	Putative cold-regulated protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin 5	Dehydrin DHN5	Dehydrin
921008|Alyrata	Putative uncharacterized protein	Dehydrin COR47	Uncharacterized protein	Cor29	AT1G20440 protein	Uncharacterized protein	Dehydrin ERD10	Dehydrin ERD10	Dehydrin	Uncharacterized protein
927009|Alyrata	Putative uncharacterized protein	Dehydrin ERD14	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Pollen coat protein	Uncharacterized protein	Pollen coat protein	Dehydrin protein	Dehydrin
472273|Alyrata	Putative uncharacterized protein	Uncharacterized protein	Dehydrin ERD10	Dehydrin ERD10	Dehydrin protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Dehydrin	Dehydrin (Fragment)
937958|Alyrata	Putative uncharacterized protein	Dehydrin Xero 1	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin 3	Dehydrin Xero 2	Uncharacterized protein	Predicted protein	Putative uncharacterized protein (Fragment)
AT1G20440|Athaliana	Dehydrin COR47	Putative uncharacterized protein	Uncharacterized protein	Cor29	AT1G20440 protein	Dehydrin ERD10	Uncharacterized protein	Dehydrin ERD10	Dehydrin	Uncharacterized protein
AT1G76180|Athaliana	Dehydrin ERD14	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Pollen coat protein	Pollen coat protein
AT1G20450|Athaliana	Dehydrin ERD10	Dehydrin ERD10	Uncharacterized protein	Putative uncharacterized protein	Dehydrin protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Dehydrin	Cold-regulated protein
AT4G38410|Athaliana	At4g38410	Putative cold-regulated protein	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin 5	Dehydrin DHN5	Uncharacterized protein	Dehydrin
Bradi5g10860|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Cold acclimation protein WCOR410c	Dehydrin WZY1-2	Dehydrin COR410	Cold acclimation protein WCOR410b	Dehydrin 8	LEA protein	Uncharacterized protein	Paf93 protein
Bradi4g22280|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Dehydrin 3	Cold shock protein CS66	Uncharacterized protein	Dehydrin (Fragment)	Predicted protein	Dehydrin 6	Dehydrin	Dehydrin 6
Bradi3g51200|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Dehydrin WZY1-2	Dehydrin COR410	Cold acclimation protein WCOR410c	Dehydrin 8	Cold acclimation protein WCOR410b	Paf93 protein	LEA protein	Uncharacterized protein
Bradi4g22290|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Dehydrin 3	Cold shock protein CS66	Dehydrin	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin-/LEA group 2-like protein	Uncharacterized protein
Carubv10005866m.g|Crubella	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	At4g38410	Putative uncharacterized protein	Putative cold-regulated protein	Cold shock protein CS66	Dehydrin 5	Dehydrin DHN5	Dehydrin
Carubv10020984m.g|Crubella	Uncharacterized protein	Dehydrin ERD14	Uncharacterized protein	Dehydrin protein	Uncharacterized protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Pollen coat protein	Pollen coat protein
Carubv10010037m.g|Crubella	Uncharacterized protein	Dehydrin ERD10	Putative uncharacterized protein	Dehydrin ERD10	Dehydrin protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Dehydrin	Uncharacterized protein
Carubv10010040m.g|Crubella	Uncharacterized protein	Cor29	Putative uncharacterized protein	Dehydrin COR47	Uncharacterized protein	AT1G20440 protein	Dehydrin ERD10	Dehydrin ERD10	Uncharacterized protein	Uncharacterized protein
evm.TU.supercontig_26.225|Cpapaya	Dehydrin protein	Phosphoprotein ECPP44, putative	Uncharacterized protein	Dehydrin 2	Putative uncharacterized protein	Dehydrin 1	Dehydrin	Putative uncharacterized protein	Dehydrin	Dehydrin
Ciclev10002349m.g|Cclementina	Uncharacterized protein	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin
orange1.1g038463m.g|Csinensis	Uncharacterized protein	85 kDa cold acclimation protein	Dehydrin-like protein (Fragment)	Dehydrin 5	Dehydrin DHN5	Dehydrin	Dehydrin 3	Dehydrin	Uncharacterized protein	Dehydrin protein
orange1.1g026736m.g|Csinensis	Dehydrin	Uncharacterized protein	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin 1
Cucsa.077690|Csativus	Phosphoprotein ECPP44, putative	Dehydrin	Dehydrin 1	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin
Eucgr.F01726|Egrandis	Dehydrin 2	Putative uncharacterized protein	Putative uncharacterized protein	Dehydrin 2	Dehydrin protein	Dehydrin 2 (Fragment)	Phosphoprotein ECPP44, putative	Dehydrin	Dehydrin 1	Dehydrin
gene17179-v1.0-hybrid|Fvesca	Uncharacterized protein	Dehydrin 5	Dehydrin DHN5	Dehydrin 3	Cold shock protein CS66	Dehydrin	85 kDa cold acclimation protein	Dehydrin 1	Dehydrin 7	Dehydrin-like protein (Fragment)
Gorai.008G038700|Graimondii	85 kDa cold acclimation protein	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)
Gorai.009G189500|Graimondii	Dehydrin protein	Putative uncharacterized protein	Putative uncharacterized protein	Dehydrin 2	Phosphoprotein ECPP44, putative	Dehydrin	Uncharacterized protein	Uncharacterized protein	Dehydrin	Dehydrin
Gorai.002G119600|Graimondii	Dehydrin 2	Putative uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Dehydrin protein	Dehydrin	Dehydrin	Uncharacterized protein	Phosphoprotein ECPP44, putative	85 kDa cold acclimation protein
Lus10003340.g|Lusitatissimum	Uncharacterized protein	Abscisic acid response protein	Dehydrin 2	Dehydrin 3	Dehydrin 1	Uncharacterized protein	Dehydrin 1	Dehydrin 4	Dehydrin	Phosphoprotein ECPP44
Lus10022643.g|Lusitatissimum	Uncharacterized protein	Uncharacterized protein	Dehydrin 4	Abscisic acid response protein	Dehydrin 8	Dehydrin 1	Dehydrin 2	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)
Lus10005652.g|Lusitatissimum	85 kDa cold acclimation protein	Dehydrin 3	Dehydrin protein	Dehydrin-like protein (Fragment)	Dehydrin	Putative uncharacterized protein	Uncharacterized protein	Dehydrin	Dehydrin 7	Dehydrin (Fragment)
Lus10034568.g|Lusitatissimum	Dehydrin 4	Dehydrin 8	Dehydrin	Dehydrin b	Putative uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Dehydrin b	Dehydrin 2	Dehydrin
Lus10021240.g|Lusitatissimum	85 kDa cold acclimation protein	Dehydrin 7	Dehydrin protein	Dehydrin 3	Uncharacterized protein	Dehydrin ERD14	Dehydrin	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein
Lus10021827.g|Lusitatissimum	Dehydrin 4	Dehydrin b	Dehydrin b	Dehydrin 8	Putative uncharacterized protein	Putative uncharacterized protein	Dehydrin 2	Uncharacterized protein	Dehydrin	Dehydrin-cognate
MDP0000770493|Mdomestica	Dehydrin 9	Dehydrin 2	Dehydrin 8	Dehydrin 5	Uncharacterized protein	Type II SK2 dehydrin (Fragment)	Dehydrin 2	Dehydrin 7	Putative dehydrin (Fragment)	Uncharacterized protein
MDP0000529003|Mdomestica	Dehydrin 8	Dehydrin 5	Dehydrin 2	Dehydrin 9	Uncharacterized protein	Type II SK2 dehydrin (Fragment)	Dehydrin 7	Dehydrin 2	Putative dehydrin (Fragment)	Uncharacterized protein
cassava4.1_015875m.g|Mesculenta	Dehydrin protein	Phosphoprotein ECPP44, putative	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin 1	Dehydrin	Dehydrin
Medtr3g117290|Mtruncatula	Dehydrin	Dehydrin b	Dehydrin b	Dehydrin-cognate	Uncharacterized protein	Dehydrin 7	Dehydrin 2	Dehydrin	Putative uncharacterized protein	Putative uncharacterized protein
LOC_Os02g44870|Osativa	Dehydration-stress inducible protein 1	Putative uncharacterized protein	SK3-type dehydrin	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	LEA protein	Uncharacterized protein	Uncharacterized protein	Cold acclimation protein WCOR410b
Phvul.009G004400|Pvulgaris	Dehydrin	Uncharacterized protein	Dehydrin 1	Dehydrin 2	Putative uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Dehydrin protein	Dehydrin b	Dehydrin b
Potri.005G248100|Ptrichocarpa	Dehydrin family protein	Dehydrin	Dhn1 protein (Fragment)	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin 1	Dehydrin	Dehydrin
ppa010326m.g|Ppersica	Uncharacterized protein	Type II SK2 dehydrin (Fragment)	Putative uncharacterized protein (Fragment)	Dehydrin 2	Dehydrin 5	Dehydrin 9	Dehydrin 8	Dehydrin 1	Dehydrin	Dehydrin
ppa026861m.g|Ppersica	Uncharacterized protein	Dehydrin 5	Dehydrin DHN5	Dehydrin	Cold shock protein CS66	Dehydrin	Dehydrin	Dehydrin-like protein (Fragment)	85 kDa cold acclimation protein	Dehydrin 3
30170.t000735|Rcommunis	Phosphoprotein ECPP44, putative	Dehydrin protein	Dehydrin 1	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin
Si017975m.g|Sitalica	Uncharacterized protein	Putative uncharacterized protein Sb04g032250	Uncharacterized protein	Dehydrin COR410	Dehydrin COR410	Dehydrin	Dehydrin	DHN2-like protein	Dehydration-stress inducible protein 1	Uncharacterized protein
Si027536m.g|Sitalica	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein Sb10g003700	Predicted protein	Dehydrin 6	Dehydrin	Dehydrin (Fragment)
Solyc04g082200.2|Slycopersicum	Uncharacterized protein	Dehydrin	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)
PGSC0003DMG400009968|Stuberosum	ERD10C	25 kDa protein dehydrin	Cold-stress inducible protein	Dehydrin	Uncharacterized protein	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)	Dehydrin (Fragment)
Thecc1EG034339|Tcacao	Dehydrin protein	Dehydrin	Dehydrin 1	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin	Dehydrin
Thhalv10026303m.g|Esalsugineum	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	At4g38410	Putative uncharacterized protein	Putative cold-regulated protein	Uncharacterized protein	Dehydrin 5	Dehydrin DHN5	Dehydrin
Thhalv10019152m.g|Esalsugineum	Uncharacterized protein	Uncharacterized protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Pollen coat protein	Pollen coat protein	Uncharacterized protein	Dehydrin ERD14	Dehydrin protein
Thhalv10008706m.g|Esalsugineum	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Cor29	Dehydrin COR47	Putative uncharacterized protein	Uncharacterized protein	Dehydrin ERD10	Dehydrin ERD10	Dehydrin protein
GRMZM2G373522|Zmays	Dehydrin	Dehydrin	DHN2-like protein	Putative uncharacterized protein Sb04g032250	Uncharacterized protein	Uncharacterized protein	Dehydrin COR410	Dehydrin COR410	Putative uncharacterized protein	SK3-type dehydrin
GRMZM2G147014|Zmays	Uncharacterized protein	Dehydrin COR410	Dehydrin COR410	Uncharacterized protein	Putative uncharacterized protein Sb04g032250	Dehydrin	Dehydrin	DHN2-like protein	Uncharacterized protein	Putative uncharacterized protein
PDK_30s875341g003|Pdactylifera	Dehydrin (Fragment)	Dehydrin-like protein	Dehydrin 3	Uncharacterized protein	Dhn1 protein	Uncharacterized protein	Dehydrin 2	Abscisic acid response protein	Uncharacterized protein	Uncharacterized protein
chr1.CM0113.750.r2.m|Ljaponicus	48 kDa dehydrin-like protein	44 kDa dehydrin-like protein	Dehydrin	Dehydrin	Putative uncharacterized protein	Dehydrin	Y3SK2 dehydrin	60 kDa dehydrin-like protein	Late embryogenesis abundant protein group 2 protein dehydrin	Dehydrin protein
C.cajan_35463|Ccajan	48 kDa dehydrin-like protein	44 kDa dehydrin-like protein	Dehydrin 3	Putative uncharacterized protein	Dehydrin	Y3SK2 dehydrin	Dehydrin	Dehydrin 5	Uncharacterized protein	Dehydrin DHN5
Ca_04763|Carietinum	Dehydrin	Dehydrin	Y3SK2 dehydrin	Dehydrin	Putative uncharacterized protein	48 kDa dehydrin-like protein	Uncharacterized protein	44 kDa dehydrin-like protein	60 kDa dehydrin-like protein	Late embryogenesis abundant protein group 2 protein dehydrin
Aquca_010_00572|Acoerulea	Dehydrin 3	Uncharacterized protein	48 kDa dehydrin-like protein	Dehydrin DHN3	Dehydrin	Predicted protein	44 kDa dehydrin-like protein	Dehydrin	Putative dehydrin	Uncharacterized protein
496967|Alyrata	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin Rab18	Dehydrin Rab18	Putative uncharacterized protein	48 kDa dehydrin-like protein	Uncharacterized protein	Uncharacterized protein	44 kDa dehydrin-like protein
899415|Alyrata	Predicted protein	Probable dehydrin LEA	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin	Dehydrin	Late embryogenesis abundant protein	48 kDa dehydrin-like protein	44 kDa dehydrin-like protein
AT3G50980|Athaliana	Dehydrin Xero 1	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Dehydrin 3	Dehydrin Xero 2	Uncharacterized protein	Predicted protein	Uncharacterized protein
AT5G66400|Athaliana	Dehydrin Rab18	Dehydrin Rab18	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Dehydrin 3	Uncharacterized protein
AT2G21490|Athaliana	Probable dehydrin LEA	Predicted protein	Uncharacterized protein	Uncharacterized protein	Late embryogenesis abundant protein	Dehydrin	Dehydrin	Uncharacterized protein	LEA protein (Fragment)	48 kDa dehydrin-like protein
Bradi3g43870|Bdistachyon	Uncharacterized protein	Cold shock protein CS66	Dehydrin 5	Uncharacterized protein	Dehydrin DHN5	Dehydrin	Dehydrin-/LEA group 2-like protein	Dehydrin 5 (Fragment)	Dehydrin 5 (Fragment)	Dehydrin 5 (Fragment)
Bradi4g19525|Bdistachyon	Uncharacterized protein	Predicted protein	Dehydrin 6	Dehydrin 6	Dehydrin	Dehydrin	Uncharacterized protein	Dehydrin (Fragment)	Uncharacterized protein	Dehydrin DHN3
Bradi2g47580|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Dehydrin	Dehydrin	Dehydrin Rab25	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein
Bradi3g43855|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Cold shock protein CS66	Dehydrin 5	Dehydrin DHN5	Dehydrin	Dehydrin-/LEA group 2-like protein	Dehydrin Rab16B	Uncharacterized protein	Dehydrin Rab16C
